epoch_time,current,status,seconds_time,ect
1647315204,0.11239093,Wash,1472,337
1647315206,0.109615845,Wash,1474,335
1647315208,0.111003388,Wash,1476,333
1647315210,0.129041438,Wash,1478,331
1647315212,0.124878811,Wash,1480,329
1647315214,4.032198053,Wash,1482,327
1647315216,4.648266854,Wash,1484,325
1647315218,4.591377618,Wash,1486,323
1647315220,4.299993725,Wash,1488,321
1647315222,4.336069826,Wash,1490,319
1647315224,4.870273629,Wash,1492,317
1647315226,4.742619733,Wash,1494,315
1647315228,4.534488382,Wash,1496,313
1647315230,4.734294479,Wash,1498,311
1647315232,4.806446681,Wash,1500,309
1647315234,4.180665084,Wash,1502,307
1647315236,4.651041939,Wash,1504,305
1647315238,4.610803211,Wash,1506,303
1647315240,4.552526432,Wash,1508,301
1647315242,4.365208216,Wash,1510,299
1647315244,4.762045326,Wash,1512,297
1647315246,4.530325755,Wash,1514,295
1647315248,4.558076601,Wash,1516,293
1647315250,4.356882962,Wash,1518,291
1647315252,4.546976263,Wash,1520,289
1647315254,4.725969225,Wash,1522,287
1647315256,4.336069826,Wash,1524,285
1647315258,4.290280929,Wash,1526,283
1647315260,4.352720334,Wash,1528,281
1647315262,4.609415668,Wash,1530,279
1647315264,4.637166515,Wash,1532,277
1647315266,4.359658046,Wash,1534,275
1647315268,4.290280929,Wash,1536,273
1647315270,4.333294742,Wash,1538,271
1647315272,4.576114652,Wash,1540,269
1647315274,0.452338804,Wash,1542,267
1647315276,4.313869149,Wash,1544,265
1647315278,4.724581683,Wash,1546,263
1647315280,4.449848299,Wash,1548,261
1647315282,4.699605921,Wash,1550,259
1647315284,4.510900162,Wash,1552,257
1647315286,4.628841261,Wash,1554,255
1647315288,4.252817286,Wash,1556,253
1647315290,4.732906937,Wash,1558,251
1647315292,4.294443556,Wash,1560,249
1647315294,4.262530082,Wash,1562,247
1647315296,4.538651009,Wash,1564,245
1647315298,4.460948637,Wash,1566,243
1647315300,4.719031513,Wash,1568,241
1647315302,4.716256429,Wash,1570,239
1647315304,4.580277279,Wash,1572,237
1647315306,4.55113889,Wash,1574,235
1647315308,4.490087027,Wash,1576,233
1647315310,4.351332792,Wash,1578,231
1647315312,4.578889737,Wash,1580,229
1647315314,4.168177203,Wash,1582,227
1647315316,4.466498807,Wash,1584,225
1647315318,4.341619996,Wash,1586,223
1647315320,4.186215253,Wash,1588,221
1647315322,4.762045326,Wash,1590,219
1647315324,4.3679833,Wash,1592,217
1647315326,4.272242879,Wash,1594,215
1647315328,4.176502457,Wash,1596,213
1647315330,4.151526695,Wash,1598,211
1647315332,4.498412281,Wash,1600,209
1647315334,0.213681521,Wash,1602,207
1647315336,4.28473076,Wash,1604,205
1647315338,4.39712169,Wash,1606,203
1647315340,4.365208216,Wash,1608,201
1647315342,4.287505844,Wash,1610,199
1647315344,4.312481606,Wash,1612,197
1647315346,4.308318979,Wash,1614,195
1647315348,4.68156787,Wash,1616,193
1647315350,4.620516007,Wash,1618,191
1647315352,4.749557445,Wash,1620,189
1647315354,4.298606183,Wash,1622,187
1647315356,4.717643971,Wash,1624,185
1647315358,4.420709909,Wash,1626,183
1647315360,4.602477956,Wash,1628,181
1647315362,4.652429481,Wash,1630,179
1647315364,4.65797965,Wash,1632,177
1647315366,0.437075838,Wash,1634,175
1647315368,3.797703397,Wash,1636,173
1647315370,3.678374755,Wash,1638,171
1647315372,4.175114914,Wash,1640,169
1647315374,3.914256954,Wash,1642,167
1647315376,4.14320144,Wash,1644,165
1647315378,4.187602795,Wash,1646,163
1647315380,3.735263991,Wash,1648,161
1647315382,4.065499069,Wash,1650,159
1647315384,3.688087551,Wash,1652,157
1647315386,3.783827973,Wash,1654,155
1647315388,3.624260604,Wash,1656,153
1647315391,3.664499332,Wash,1659,150
1647315393,2.902738585,Wash,1661,148
1647315395,4.028035426,Wash,1663,146
1647315397,3.832391955,Wash,1665,144
1647315399,3.620097977,Wash,1667,142
1647315401,3.507707047,Wash,1669,140
1647315403,3.563208741,Wash,1671,138
1647315405,3.800478481,Wash,1673,136
1647315407,4.134876186,Wash,1675,134
1647315409,3.826841786,Wash,1677,132
1647315411,4.187602795,Wash,1679,130
1647315413,4.007222291,Wash,1681,128
1647315415,3.929519919,Wash,1683,126
1647315417,3.570146452,Wash,1685,124
1647315419,4.108512882,Wash,1687,122
1647315421,3.761627296,Wash,1689,120
1647315423,3.49799425,Wash,1691,118
1647315425,3.59234713,Wash,1693,116
1647315427,4.173727372,Wash,1695,114
1647315429,0.108228303,Wash,1697,112
1647315431,0.133204065,Wash,1699,110
1647315433,0.119328642,Wash,1701,108
1647315435,0.123491269,Wash,1703,106
1647315437,0.456501431,Wash,1705,104
1647315439,0.97682981,Wash,1707,102
1647315441,1.172473281,Wash,1709,100
1647315443,0.616068801,Wash,1711,98
1647315445,0.690996088,Wash,1713,96
1647315447,1.064244978,Wash,1715,94
1647315449,1.526296579,Wash,1717,92
1647315451,2.067438093,Wash,1719,90
1647315453,2.145140464,Wash,1721,88
1647315455,2.014711484,Wash,1723,86
1647315457,0.111003388,Wash,1725,84
1647315459,0.113778472,Wash,1727,82
1647315461,0.108228303,Wash,1729,80
1647315463,0.109615845,Wash,1731,78
1647315465,0.109615845,Wash,1733,76
1647315467,0.109615845,Wash,1735,74
1647315469,0.109615845,Wash,1737,72
1647315471,0.109615845,Wash,1739,70
1647315473,0.108228303,Wash,1741,68
1647315475,0.108228303,Wash,1743,66
1647315477,0.109615845,Wash,1745,64
1647315479,0.131816523,Wash,1747,62
1647315481,0.115166015,Wash,1749,60
1647315483,3.678374755,Wash,1751,58
1647315485,3.312063576,Wash,1753,56
1647315487,3.631198315,Wash,1755,54
